factionLevel,faction_apex,faction_64,faction_vinson,faction_marauder,faction_aces,faction_ares,faction_marvin
0,"faction_apex","faction_64","faction_vinson","faction_marauder","faction_aces","faction_ares","faction_marvin"
1,"","","","","","",""
2,"gc_icon_dollarsign,random","gc_icon_fox,random ","gc_icon_gear,random ","gc_icon_prowler,random ","gc_icon_ace,random","gc_icon_radar,random","gc_icon_mrvn,random"
3,"random,callsign_06_col","random,callsign_96_col","random,callsign_05_col","random,callsign_46_col","random,callsign_01_col","random,callsign_41_col","random,callsign_163_col"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random,callsign_06_col_fire","random,callsign_96_col_fire","random,callsign_05_col_fire","random,callsign_46_col_fire","random,callsign_01_col_fire","random,callsign_41_col_fire","random,callsign_163_col_fire"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random,callsign_06_col_gold","random,callsign_96_col_gold","random,callsign_05_col_gold","random,callsign_46_col_gold","random,callsign_01_col_gold","random,callsign_41_col_gold","random,callsign_163_col_gold"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random,callsign_163_col_prism"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random,callsign_164_col"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random,callsign_164_col_fire"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random,callsign_164_col_gold"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random,callsign_164_col_prism"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"
1,"random","random","random","random","random","random","random"
2,"random","random","random","random","random","random","random"
3,"random","random","random","random","random","random","random"
4,"random","random","random","random","random","random","random"
5,"random","random","random","random","random","random","random"