titanLevel,ion,scorch,northstar,ronin,tone,legion,vanguard,end
"","ion","scorch","northstar","ronin","tone","legion","vanguard","END"
"1","pas_ion_weapon,pas_mobility_dash_capacity,pas_enhanced_titan_ai,pas_auto_eject,pas_bubbleshield,titan_camo_skin00,camo_skin00,ion_nose_art_none,pas_vanguard_core1, pas_vanguard_core4,pas_vanguard_core7,execution_random_0,execution_ion,execution_ion_prime","pas_scorch_weapon,pas_mobility_dash_capacity,pas_enhanced_titan_ai,pas_auto_eject,pas_bubbleshield,titan_camo_skin00,camo_skin00,scorch_nose_art_none,pas_vanguard_core1, pas_vanguard_core4,pas_vanguard_core7,execution_random_1,execution_scorch,execution_scorch_prime","pas_northstar_weapon,pas_mobility_dash_capacity,pas_enhanced_titan_ai,pas_auto_eject,pas_bubbleshield,titan_camo_skin00,camo_skin00,northstar_nose_art_none,pas_vanguard_core1, pas_vanguard_core4,pas_vanguard_core7,execution_random_2,execution_northstar,execution_northstar_prime","pas_ronin_weapon,pas_mobility_dash_capacity,pas_enhanced_titan_ai,pas_auto_eject,pas_bubbleshield,titan_camo_skin00,camo_skin00,ronin_nose_art_none,pas_vanguard_core1, pas_vanguard_core4,pas_vanguard_core7,execution_random_3,execution_ronin,execution_ronin_prime","pas_tone_weapon,pas_mobility_dash_capacity,pas_enhanced_titan_ai,pas_auto_eject,pas_bubbleshield,titan_camo_skin00,camo_skin00,tone_nose_art_none,pas_vanguard_core1, pas_vanguard_core4,pas_vanguard_core7,execution_random_4,execution_tone,execution_tone_prime","pas_legion_weapon,pas_mobility_dash_capacity,pas_enhanced_titan_ai,pas_auto_eject,pas_bubbleshield,titan_camo_skin00,camo_skin00,legion_nose_art_none,pas_vanguard_core1, pas_vanguard_core4,pas_vanguard_core7,execution_random_5,execution_legion,execution_legion_prime","pas_vanguard_shield,pas_mobility_dash_capacity,pas_enhanced_titan_ai,pas_auto_eject,pas_bubbleshield,pas_vanguard_core1,pas_vanguard_core4,pas_vanguard_core7,titan_camo_skin00,camo_skin00,vanguard_nose_art_none,execution_random_6,execution_vanguard",""
"2","pas_hyper_core","pas_hyper_core","pas_hyper_core","pas_hyper_core","pas_hyper_core","pas_hyper_core","pas_hyper_core",""
"3","pas_build_up_nuclear_core","pas_build_up_nuclear_core","pas_build_up_nuclear_core","pas_build_up_nuclear_core","pas_build_up_nuclear_core","pas_build_up_nuclear_core","pas_vanguard_core2,pas_build_up_nuclear_core",""
"4","pas_anti_rodeo,ion_nose_art_14","pas_anti_rodeo,scorch_nose_art_11","pas_anti_rodeo,northstar_nose_art_11","pas_anti_rodeo,ronin_nose_art_14","pas_anti_rodeo,tone_nose_art_13","pas_anti_rodeo,legion_nose_art_13","pas_anti_rodeo,vanguard_nose_art_01",""
"5","pas_warpfall,random","pas_warpfall,random","pas_warpfall,random","pas_warpfall,random","pas_warpfall,random","pas_warpfall,random","pas_warpfall,pas_vanguard_core5,random",""
"6","pas_ion_tripwire,titan_camo_skin01","pas_scorch_selfdmg,titan_camo_skin01","pas_northstar_cluster,titan_camo_skin01","pas_ronin_arcwave,titan_camo_skin01","pas_tone_wall,titan_camo_skin01","pas_legion_smartcore,titan_camo_skin01","pas_vanguard_coremeter,titan_camo_skin01",""
"7","pas_ion_vortex","pas_scorch_shield","pas_northstar_trap","pas_ronin_phase","pas_tone_sonar","pas_legion_gunshield","pas_vanguard_core8,pas_vanguard_rearm",""
"8","pas_ion_lasercannon,camo_skin01","pas_scorch_firewall,camo_skin01","pas_northstar_flightcore,camo_skin01","pas_ronin_swordcore,camo_skin01","pas_tone_rockets,camo_skin01","pas_legion_spinup,camo_skin01","pas_vanguard_core3,pas_vanguard_doom,camo_skin01",""
"9","titan_camo_skin03,pas_ion_weapon_ads","titan_camo_skin03,pas_scorch_flamecore","titan_camo_skin03,pas_northstar_optics","titan_camo_skin03,pas_ronin_autoshift","titan_camo_skin03,pas_tone_burst","titan_camo_skin03,pas_legion_chargeshot","titan_camo_skin03,pas_vanguard_core6",""
"10","gc_icon_cateye,ion_nose_art_01","gc_icon_fireball,scorch_nose_art_02","gc_icon_stinger,northstar_nose_art_08","gc_icon_sword,ronin_nose_art_02","gc_icon_crosshair,tone_nose_art_14","gc_icon_bullet,legion_nose_art_09","gc_icon_monarch,vanguard_nose_art_02,pas_vanguard_core9",""
"11","camo_skin03","camo_skin03","camo_skin03","camo_skin03","camo_skin03","camo_skin03","camo_skin03",""
"12","titan_camo_skin02","titan_camo_skin02","titan_camo_skin02","titan_camo_skin02","titan_camo_skin02","titan_camo_skin02","titan_camo_skin02",""
"13","","","","","","","",""
"14","camo_skin02","camo_skin02","camo_skin02","camo_skin02","camo_skin02","camo_skin02","camo_skin02",""
"15","titan_camo_skin97","titan_camo_skin97","titan_camo_skin97","titan_camo_skin97","titan_camo_skin97","titan_camo_skin97","titan_camo_skin97",""
"16","","","","","","","",""
"17","camo_skin97","camo_skin97","camo_skin97","camo_skin97","camo_skin97","camo_skin97","camo_skin97",""
"18","titan_camo_skin24","titan_camo_skin24","titan_camo_skin24","titan_camo_skin24","titan_camo_skin24","titan_camo_skin24","titan_camo_skin24",""
"19","","","","","","","",""
"20","camo_skin24,ion_nose_art_08","camo_skin24,scorch_nose_art_03","camo_skin24,northstar_nose_art_06","camo_skin24,ronin_nose_art_11","camo_skin24,tone_nose_art_04","camo_skin24,legion_nose_art_06","camo_skin24,vanguard_nose_art_03",""
"1","titan_camo_skin16,callsign_24_col","titan_camo_skin16,callsign_47_col","titan_camo_skin16,callsign_36_col","titan_camo_skin16,callsign_45_col","titan_camo_skin16,callsign_68_col","titan_camo_skin16,callsign_26_col","titan_camo_skin16,callsign_165_col",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","camo_skin16","camo_skin16","camo_skin16","camo_skin16","camo_skin16","camo_skin16","camo_skin16",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","titan_camo_skin25","titan_camo_skin25","titan_camo_skin25","titan_camo_skin25","titan_camo_skin25","titan_camo_skin25","titan_camo_skin25",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","camo_skin25","camo_skin25","camo_skin25","camo_skin25","camo_skin25","camo_skin25","camo_skin25",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_04","scorch_nose_art_05","northstar_nose_art_04","ronin_nose_art_05","tone_nose_art_03","legion_nose_art_03","vanguard_nose_art_04",""
"1","titan_camo_skin14,callsign_24_col_fire","titan_camo_skin14,callsign_47_col_fire","titan_camo_skin14,callsign_36_col_fire","titan_camo_skin14,callsign_45_col_fire","titan_camo_skin14,callsign_68_col_fire","titan_camo_skin14,callsign_26_col_fire","titan_camo_skin14,callsign_165_col_fire",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","camo_skin14","camo_skin14","camo_skin14","camo_skin14","camo_skin14","camo_skin14","camo_skin14",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","titan_camo_skin26","titan_camo_skin26","titan_camo_skin26","titan_camo_skin26","titan_camo_skin26","titan_camo_skin26","titan_camo_skin26",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","camo_skin26","camo_skin26","camo_skin26","camo_skin26","camo_skin26","camo_skin26","camo_skin26",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_03","scorch_nose_art_01","northstar_nose_art_01","ronin_nose_art_06","tone_nose_art_07","legion_nose_art_10","vanguard_nose_art_05",""
"1","titan_camo_skin83,callsign_24_col_gold","titan_camo_skin83,callsign_47_col_gold","titan_camo_skin83,callsign_36_col_gold","titan_camo_skin83,callsign_45_col_gold","titan_camo_skin83,callsign_68_col_gold","titan_camo_skin83,callsign_26_col_gold","titan_camo_skin83,callsign_165_col_gold",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","camo_skin83","camo_skin83","camo_skin83","camo_skin83","camo_skin83","camo_skin83","camo_skin83",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","titan_camo_skin27","titan_camo_skin27","titan_camo_skin27","titan_camo_skin27","titan_camo_skin27","titan_camo_skin27","titan_camo_skin27",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","camo_skin27","camo_skin27","camo_skin27","camo_skin27","camo_skin27","camo_skin27","camo_skin27",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_12","scorch_nose_art_13","northstar_nose_art_09","ronin_nose_art_04","tone_nose_art_02","legion_nose_art_02","vanguard_nose_art_06",""
"1","titan_camo_skin31","titan_camo_skin31","titan_camo_skin31","titan_camo_skin31","titan_camo_skin31","titan_camo_skin31","titan_camo_skin31",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","camo_skin31","camo_skin31","camo_skin31","camo_skin31","camo_skin31","camo_skin31","camo_skin31",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","titan_camo_skin19","titan_camo_skin19","titan_camo_skin19","titan_camo_skin19","titan_camo_skin19","titan_camo_skin19","titan_camo_skin19",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","camo_skin19","camo_skin19","camo_skin19","camo_skin19","camo_skin19","camo_skin19","camo_skin19",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_13","scorch_nose_art_10","northstar_nose_art_03","ronin_nose_art_09","tone_nose_art_09","legion_nose_art_01","vanguard_nose_art_07",""
"1","titan_camo_skin82","titan_camo_skin82","titan_camo_skin82","titan_camo_skin82","titan_camo_skin82","titan_camo_skin82","titan_camo_skin82",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","camo_skin82","camo_skin82","camo_skin82","camo_skin82","camo_skin82","camo_skin82","camo_skin82",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","titan_camo_skin15","titan_camo_skin15","titan_camo_skin15","titan_camo_skin15","titan_camo_skin15","titan_camo_skin15","titan_camo_skin15",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","camo_skin15","camo_skin15","camo_skin15","camo_skin15","camo_skin15","camo_skin15","camo_skin15",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_02","scorch_nose_art_04","northstar_nose_art_02","ronin_nose_art_01","tone_nose_art_01","legion_nose_art_08","",""
"1","titan_camo_skin17","titan_camo_skin17","titan_camo_skin17","titan_camo_skin17","titan_camo_skin17","titan_camo_skin17","titan_camo_skin17",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","camo_skin17","camo_skin17","camo_skin17","camo_skin17","camo_skin17","camo_skin17","camo_skin17",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_06","scorch_nose_art_14","northstar_nose_art_10","ronin_nose_art_13","tone_nose_art_05","legion_nose_art_11","vanguard_nose_art_08",""
"1","titan_camo_skin81","titan_camo_skin81","titan_camo_skin81","titan_camo_skin81","titan_camo_skin81","titan_camo_skin81","titan_camo_skin81",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_11","scorch_nose_art_09","northstar_nose_art_05","ronin_nose_art_10","tone_nose_art_08","legion_nose_art_04","",""
"1","titan_camo_skin18","titan_camo_skin18","titan_camo_skin18","titan_camo_skin18","titan_camo_skin18","titan_camo_skin18","titan_camo_skin18",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_10","scorch_nose_art_08","northstar_nose_art_14","ronin_nose_art_03","tone_nose_art_06","legion_nose_art_05","vanguard_nose_art_09",""
"1","titan_camo_skin30","titan_camo_skin30","titan_camo_skin30","titan_camo_skin30","titan_camo_skin30","titan_camo_skin30","titan_camo_skin30",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","ion_nose_art_09","","","","","","",""
"1","","","","","","","",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"1","random","random","random","random","random","random","random",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""