itemRef,name,layoutType,image,cost
"callsign_01_col","#BANNER_CALLSIGN1",0,"rui/callsigns/callsign_01_col",0
"callsign_02_col","#BANNER_CALLSIGN2",0,"rui/callsigns/callsign_02_col",100
"callsign_03_col","#BANNER_CALLSIGN3",0,"rui/callsigns/callsign_03_col",0
"callsign_04_col","#BANNER_CALLSIGN4",0,"rui/callsigns/callsign_04_col",0
"callsign_05_col","#BANNER_CALLSIGN5",0,"rui/callsigns/callsign_05_col",0
"callsign_06_col","#BANNER_CALLSIGN6",0,"rui/callsigns/callsign_06_col",0
"callsign_07_col","#BANNER_CALLSIGN7",0,"rui/callsigns/callsign_07_col",0
"callsign_08_col","#BANNER_CALLSIGN8",0,"rui/callsigns/callsign_08_col",100
"callsign_09_col","#BANNER_CALLSIGN9",0,"rui/callsigns/callsign_09_col",0
"callsign_10_col","#BANNER_CALLSIGN10",0,"rui/callsigns/callsign_10_col",100
"callsign_11_col","#BANNER_CALLSIGN11",0,"rui/callsigns/callsign_11_col",0
"callsign_12_col","#BANNER_CALLSIGN12",0,"rui/callsigns/callsign_12_col",100
"callsign_13_col","#BANNER_CALLSIGN13",0,"rui/callsigns/callsign_13_col",0
"callsign_14_col","#BANNER_CALLSIGN14",0,"rui/callsigns/callsign_14_col",0
"callsign_15_col","#BANNER_CALLSIGN15",0,"rui/callsigns/callsign_15_col",0
"callsign_16_col","#BANNER_CALLSIGN16",0,"rui/callsigns/callsign_16_col",0
"callsign_17_col","#BANNER_CALLSIGN17",0,"rui/callsigns/callsign_17_col",100
"callsign_18_col","#BANNER_CALLSIGN18",0,"rui/callsigns/callsign_18_col",0
"callsign_19_col","#BANNER_CALLSIGN19",0,"rui/callsigns/callsign_19_col",0
"callsign_20_col","#BANNER_CALLSIGN20",0,"rui/callsigns/callsign_20_col",100
"callsign_21_col","#BANNER_CALLSIGN21",0,"rui/callsigns/callsign_21_col",0
"callsign_22_col","#BANNER_CALLSIGN22",0,"rui/callsigns/callsign_22_col",0
"callsign_23_col","#BANNER_CALLSIGN23",0,"rui/callsigns/callsign_23_col",0
"callsign_24_col","#BANNER_CALLSIGN24",0,"rui/callsigns/callsign_24_col",0
"callsign_25_col","#BANNER_CALLSIGN25",0,"rui/callsigns/callsign_25_col",100
"callsign_26_col","#BANNER_CALLSIGN26",0,"rui/callsigns/callsign_26_col",0
"callsign_27_col","#BANNER_CALLSIGN27",0,"rui/callsigns/callsign_27_col",0
"callsign_28_col","#BANNER_CALLSIGN28",0,"rui/callsigns/callsign_28_col",100
"callsign_29_col","#BANNER_CALLSIGN29",0,"rui/callsigns/callsign_29_col",0
"callsign_30_col","#BANNER_CALLSIGN30",0,"rui/callsigns/callsign_30_col",0
"callsign_31_col","#BANNER_CALLSIGN31",0,"rui/callsigns/callsign_31_col",0
"callsign_32_col","#BANNER_CALLSIGN32",0,"rui/callsigns/callsign_32_col",100
"callsign_34_col","#BANNER_CALLSIGN34",0,"rui/callsigns/callsign_34_col",0
"callsign_35_col","#BANNER_CALLSIGN35",0,"rui/callsigns/callsign_35_col",0
"callsign_36_col","#BANNER_CALLSIGN36",0,"rui/callsigns/callsign_36_col",0
"callsign_37_col","#BANNER_CALLSIGN37",0,"rui/callsigns/callsign_37_col",0
"callsign_39_col","#BANNER_CALLSIGN39",0,"rui/callsigns/callsign_39_col",0
"callsign_40_col","#BANNER_CALLSIGN40",0,"rui/callsigns/callsign_40_col",0
"callsign_41_col","#BANNER_CALLSIGN41",0,"rui/callsigns/callsign_41_col",0
"callsign_42_col","#BANNER_CALLSIGN42",0,"rui/callsigns/callsign_42_col",0
"callsign_43_col","#BANNER_CALLSIGN43",0,"rui/callsigns/callsign_43_col",100
"callsign_44_col","#BANNER_CALLSIGN44",0,"rui/callsigns/callsign_44_col",100
"callsign_45_col","#BANNER_CALLSIGN45",0,"rui/callsigns/callsign_45_col",0
"callsign_46_col","#BANNER_CALLSIGN46",0,"rui/callsigns/callsign_46_col",0
"callsign_47_col","#BANNER_CALLSIGN47",0,"rui/callsigns/callsign_47_col",0
"callsign_48_col","#BANNER_CALLSIGN48",0,"rui/callsigns/callsign_48_col",0
"callsign_49_col","#BANNER_CALLSIGN49",0,"rui/callsigns/callsign_49_col",100
"callsign_50_col","#BANNER_CALLSIGN50",0,"rui/callsigns/callsign_50_col",100
"callsign_51_col","#BANNER_CALLSIGN51",0,"rui/callsigns/callsign_51_col",0
"callsign_52_col","#BANNER_CALLSIGN52",0,"rui/callsigns/callsign_52_col",100
"callsign_53_col","#BANNER_CALLSIGN53",0,"rui/callsigns/callsign_53_col",0
"callsign_54_col","#BANNER_CALLSIGN54",0,"rui/callsigns/callsign_54_col",100
"callsign_55_col","#BANNER_CALLSIGN55",0,"rui/callsigns/callsign_55_col",0
"callsign_56_col","#BANNER_CALLSIGN56",0,"rui/callsigns/callsign_56_col",100
"callsign_57_col","#BANNER_CALLSIGN57",0,"rui/callsigns/callsign_57_col",0
"callsign_58_col","#BANNER_CALLSIGN58",0,"rui/callsigns/callsign_58_col",100
"callsign_59_col","#BANNER_CALLSIGN59",0,"rui/callsigns/callsign_59_col",0
"callsign_60_col","#BANNER_CALLSIGN60",0,"rui/callsigns/callsign_60_col",100
"callsign_61_col","#BANNER_CALLSIGN61",0,"rui/callsigns/callsign_61_col",100
"callsign_62_col","#BANNER_CALLSIGN62",0,"rui/callsigns/callsign_62_col",100
"callsign_63_col","#BANNER_CALLSIGN63",0,"rui/callsigns/callsign_63_col",100
"callsign_64_col","#BANNER_CALLSIGN64",0,"rui/callsigns/callsign_64_col",100
"callsign_66_col","#BANNER_CALLSIGN66",0,"rui/callsigns/callsign_66_col",0
"callsign_67_col","#BANNER_CALLSIGN67",0,"rui/callsigns/callsign_67_col",0
"callsign_68_col","#BANNER_CALLSIGN68",0,"rui/callsigns/callsign_68_col",0
"callsign_69_col","#BANNER_CALLSIGN69",0,"rui/callsigns/callsign_69_col",0
"callsign_70_col","#BANNER_CALLSIGN70",0,"rui/callsigns/callsign_70_col",0
"callsign_71_col","#BANNER_CALLSIGN71",0,"rui/callsigns/callsign_71_col",100
"callsign_72_col","#BANNER_CALLSIGN72",0,"rui/callsigns/callsign_72_col",100
"callsign_73_col","#BANNER_CALLSIGN73",0,"rui/callsigns/callsign_73_col",100
"callsign_74_col","#BANNER_CALLSIGN74",0,"rui/callsigns/callsign_74_col",100
"callsign_75_col","#BANNER_CALLSIGN75",0,"rui/callsigns/callsign_75_col",0
"callsign_76_col","#BANNER_CALLSIGN76",0,"rui/callsigns/callsign_76_col",0
"callsign_77_col","#BANNER_CALLSIGN77",0,"rui/callsigns/callsign_77_col",100
"callsign_78_col","#BANNER_CALLSIGN78",0,"rui/callsigns/callsign_78_col",0
"callsign_79_col","#BANNER_CALLSIGN79",0,"rui/callsigns/callsign_79_col",0
"callsign_80_col","#BANNER_CALLSIGN80",0,"rui/callsigns/callsign_80_col",100
"callsign_81_col","#BANNER_CALLSIGN81",0,"rui/callsigns/callsign_81_col",100
"callsign_82_col","#BANNER_CALLSIGN82",0,"rui/callsigns/callsign_82_col",100
"callsign_83_col","#BANNER_CALLSIGN83",0,"rui/callsigns/callsign_83_col",100
"callsign_84_col","#BANNER_CALLSIGN84",0,"rui/callsigns/callsign_84_col",100
"callsign_85_col","#BANNER_CALLSIGN85",0,"rui/callsigns/callsign_85_col",100
"callsign_86_col","#BANNER_CALLSIGN86",0,"rui/callsigns/callsign_86_col",100
"callsign_87_col","#BANNER_CALLSIGN87",0,"rui/callsigns/callsign_87_col",100
"callsign_88_col","#BANNER_CALLSIGN88",0,"rui/callsigns/callsign_88_col",100
"callsign_89_col","#BANNER_CALLSIGN89",0,"rui/callsigns/callsign_89_col",100
"callsign_90_col","#BANNER_CALLSIGN90",0,"rui/callsigns/callsign_90_col",100
"callsign_91_col","#BANNER_CALLSIGN91",0,"rui/callsigns/callsign_91_col",100
"callsign_92_col","#BANNER_CALLSIGN92",0,"rui/callsigns/callsign_92_col",0
"callsign_93_col","#BANNER_CALLSIGN93",0,"rui/callsigns/callsign_93_col",100
"callsign_94_col","#BANNER_CALLSIGN94",0,"rui/callsigns/callsign_94_col",0
"callsign_95_col","#BANNER_CALLSIGN95",0,"rui/callsigns/callsign_95_col",100
"callsign_96_col","#BANNER_CALLSIGN96",0,"rui/callsigns/callsign_96_col",0
"callsign_97_col","#BANNER_CALLSIGN97",0,"rui/callsigns/callsign_97_col",0
"callsign_98_col","#BANNER_CALLSIGN98",0,"rui/callsigns/callsign_98_col",100
"callsign_99_col","#BANNER_CALLSIGN99",0,"rui/callsigns/callsign_99_col",0
"callsign_100_col","#BANNER_CALLSIGN100",0,"rui/callsigns/callsign_100_col",0
"callsign_101_col","#BANNER_CALLSIGN101",0,"rui/callsigns/callsign_101_col",100
"callsign_102_col","#BANNER_CALLSIGN102",0,"rui/callsigns/callsign_102_col",100
"callsign_103_col","#BANNER_CALLSIGN103",0,"rui/callsigns/callsign_103_col",0
"callsign_104_col","#BANNER_CALLSIGN104",0,"rui/callsigns/callsign_104_col",0
"callsign_02_col_prism","#BANNER_PRISM_CALLSIGN2",1,"rui/callsigns/callsign_02_col",250
"callsign_08_col_prism","#BANNER_PRISM_CALLSIGN8",1,"rui/callsigns/callsign_08_col",250
"callsign_10_col_prism","#BANNER_PRISM_CALLSIGN10",1,"rui/callsigns/callsign_10_col",250
"callsign_12_col_prism","#BANNER_PRISM_CALLSIGN12",1,"rui/callsigns/callsign_12_col",250
"callsign_17_col_prism","#BANNER_PRISM_CALLSIGN17",1,"rui/callsigns/callsign_17_col",250
"callsign_20_col_prism","#BANNER_PRISM_CALLSIGN20",1,"rui/callsigns/callsign_20_col",250
"callsign_25_col_prism","#BANNER_PRISM_CALLSIGN25",1,"rui/callsigns/callsign_25_col",250
"callsign_28_col_prism","#BANNER_PRISM_CALLSIGN28",1,"rui/callsigns/callsign_28_col",250
"callsign_32_col_prism","#BANNER_PRISM_CALLSIGN32",1,"rui/callsigns/callsign_32_col",250
"callsign_43_col_prism","#BANNER_PRISM_CALLSIGN43",1,"rui/callsigns/callsign_43_col",250
"callsign_44_col_prism","#BANNER_PRISM_CALLSIGN44",1,"rui/callsigns/callsign_44_col",250
"callsign_49_col_prism","#BANNER_PRISM_CALLSIGN49",1,"rui/callsigns/callsign_49_col",250
"callsign_50_col_prism","#BANNER_PRISM_CALLSIGN50",1,"rui/callsigns/callsign_50_col",250
"callsign_52_col_prism","#BANNER_PRISM_CALLSIGN52",1,"rui/callsigns/callsign_52_col",250
"callsign_54_col_prism","#BANNER_PRISM_CALLSIGN54",1,"rui/callsigns/callsign_54_col",250
"callsign_56_col_prism","#BANNER_PRISM_CALLSIGN56",1,"rui/callsigns/callsign_56_col",250
"callsign_58_col_prism","#BANNER_PRISM_CALLSIGN58",1,"rui/callsigns/callsign_58_col",250
"callsign_60_col_prism","#BANNER_PRISM_CALLSIGN60",1,"rui/callsigns/callsign_60_col",250
"callsign_61_col_prism","#BANNER_PRISM_CALLSIGN61",1,"rui/callsigns/callsign_61_col",250
"callsign_62_col_prism","#BANNER_PRISM_CALLSIGN62",1,"rui/callsigns/callsign_62_col",250
"callsign_63_col_prism","#BANNER_PRISM_CALLSIGN63",1,"rui/callsigns/callsign_63_col",250
"callsign_64_col_prism","#BANNER_PRISM_CALLSIGN64",1,"rui/callsigns/callsign_64_col",250
"callsign_71_col_prism","#BANNER_PRISM_CALLSIGN71",1,"rui/callsigns/callsign_71_col",250
"callsign_72_col_prism","#BANNER_PRISM_CALLSIGN72",1,"rui/callsigns/callsign_72_col",250
"callsign_73_col_prism","#BANNER_PRISM_CALLSIGN73",1,"rui/callsigns/callsign_73_col",250
"callsign_74_col_prism","#BANNER_PRISM_CALLSIGN74",1,"rui/callsigns/callsign_74_col",250
"callsign_77_col_prism","#BANNER_PRISM_CALLSIGN77",1,"rui/callsigns/callsign_77_col",250
"callsign_80_col_prism","#BANNER_PRISM_CALLSIGN80",1,"rui/callsigns/callsign_80_col",250
"callsign_81_col_prism","#BANNER_PRISM_CALLSIGN81",1,"rui/callsigns/callsign_81_col",250
"callsign_82_col_prism","#BANNER_PRISM_CALLSIGN82",1,"rui/callsigns/callsign_82_col",250
"callsign_83_col_prism","#BANNER_PRISM_CALLSIGN83",1,"rui/callsigns/callsign_83_col",250
"callsign_84_col_prism","#BANNER_PRISM_CALLSIGN84",1,"rui/callsigns/callsign_84_col",250
"callsign_85_col_prism","#BANNER_PRISM_CALLSIGN85",1,"rui/callsigns/callsign_85_col",250
"callsign_86_col_prism","#BANNER_PRISM_CALLSIGN86",1,"rui/callsigns/callsign_86_col",250
"callsign_87_col_prism","#BANNER_PRISM_CALLSIGN87",1,"rui/callsigns/callsign_87_col",250
"callsign_88_col_prism","#BANNER_PRISM_CALLSIGN88",1,"rui/callsigns/callsign_88_col",250
"callsign_89_col_prism","#BANNER_PRISM_CALLSIGN89",1,"rui/callsigns/callsign_89_col",250
"callsign_90_col_prism","#BANNER_PRISM_CALLSIGN90",1,"rui/callsigns/callsign_90_col",250
"callsign_91_col_prism","#BANNER_PRISM_CALLSIGN91",1,"rui/callsigns/callsign_91_col",250
"callsign_93_col_prism","#BANNER_PRISM_CALLSIGN93",1,"rui/callsigns/callsign_93_col",250
"callsign_95_col_prism","#BANNER_PRISM_CALLSIGN95",1,"rui/callsigns/callsign_95_col",250
"callsign_98_col_prism","#BANNER_PRISM_CALLSIGN98",1,"rui/callsigns/callsign_98_col",250
"callsign_101_col_prism","#BANNER_PRISM_CALLSIGN101",1,"rui/callsigns/callsign_101_col",250
"callsign_102_col_prism","#BANNER_PRISM_CALLSIGN102",1,"rui/callsigns/callsign_102_col",250
"callsign_16_col_gold","#BANNER_GOLD_CALLSIGN16",2,"rui/callsigns/callsign_16_col",0
"callsign_01_col_gold","#BANNER_GOLD_CALLSIGN1",2,"rui/callsigns/callsign_01_col",0
"callsign_03_col_gold","#BANNER_GOLD_CALLSIGN3",2,"rui/callsigns/callsign_03_col",0
"callsign_04_col_gold","#BANNER_GOLD_CALLSIGN4",2,"rui/callsigns/callsign_04_col",0
"callsign_05_col_gold","#BANNER_GOLD_CALLSIGN5",2,"rui/callsigns/callsign_05_col",0
"callsign_06_col_gold","#BANNER_GOLD_CALLSIGN6",2,"rui/callsigns/callsign_06_col",0
"callsign_07_col_gold","#BANNER_GOLD_CALLSIGN7",2,"rui/callsigns/callsign_07_col",0
"callsign_09_col_gold","#BANNER_GOLD_CALLSIGN9",2,"rui/callsigns/callsign_09_col",0
"callsign_11_col_gold","#BANNER_GOLD_CALLSIGN11",2,"rui/callsigns/callsign_11_col",0
"callsign_13_col_gold","#BANNER_GOLD_CALLSIGN13",2,"rui/callsigns/callsign_13_col",0
"callsign_14_col_gold","#BANNER_GOLD_CALLSIGN14",2,"rui/callsigns/callsign_14_col",0
"callsign_15_col_gold","#BANNER_GOLD_CALLSIGN15",2,"rui/callsigns/callsign_15_col",0
"callsign_18_col_gold","#BANNER_GOLD_CALLSIGN18",2,"rui/callsigns/callsign_18_col",0
"callsign_19_col_gold","#BANNER_GOLD_CALLSIGN19",2,"rui/callsigns/callsign_19_col",0
"callsign_21_col_gold","#BANNER_GOLD_CALLSIGN21",2,"rui/callsigns/callsign_21_col",0
"callsign_22_col_gold","#BANNER_GOLD_CALLSIGN22",2,"rui/callsigns/callsign_22_col",0
"callsign_23_col_gold","#BANNER_GOLD_CALLSIGN23",2,"rui/callsigns/callsign_23_col",0
"callsign_24_col_gold","#BANNER_GOLD_CALLSIGN24",2,"rui/callsigns/callsign_24_col",0
"callsign_26_col_gold","#BANNER_GOLD_CALLSIGN26",2,"rui/callsigns/callsign_26_col",0
"callsign_27_col_gold","#BANNER_GOLD_CALLSIGN27",2,"rui/callsigns/callsign_27_col",0
"callsign_29_col_gold","#BANNER_GOLD_CALLSIGN29",2,"rui/callsigns/callsign_29_col",0
"callsign_30_col_gold","#BANNER_GOLD_CALLSIGN30",2,"rui/callsigns/callsign_30_col",0
"callsign_31_col_gold","#BANNER_GOLD_CALLSIGN31",2,"rui/callsigns/callsign_31_col",0
"callsign_33_col_gold","#BANNER_GOLD_CALLSIGN33",2,"rui/callsigns/callsign_33_col",0
"callsign_34_col_gold","#BANNER_GOLD_CALLSIGN34",2,"rui/callsigns/callsign_34_col",0
"callsign_35_col_gold","#BANNER_GOLD_CALLSIGN35",2,"rui/callsigns/callsign_35_col",0
"callsign_36_col_gold","#BANNER_GOLD_CALLSIGN36",2,"rui/callsigns/callsign_36_col",0
"callsign_37_col_gold","#BANNER_GOLD_CALLSIGN37",2,"rui/callsigns/callsign_37_col",0
"callsign_38_col_gold","#BANNER_GOLD_CALLSIGN38",2,"rui/callsigns/callsign_38_col",0
"callsign_39_col_gold","#BANNER_GOLD_CALLSIGN39",2,"rui/callsigns/callsign_39_col",0
"callsign_40_col_gold","#BANNER_GOLD_CALLSIGN40",2,"rui/callsigns/callsign_40_col",0
"callsign_41_col_gold","#BANNER_GOLD_CALLSIGN41",2,"rui/callsigns/callsign_41_col",0
"callsign_42_col_gold","#BANNER_GOLD_CALLSIGN42",2,"rui/callsigns/callsign_42_col",0
"callsign_45_col_gold","#BANNER_GOLD_CALLSIGN45",2,"rui/callsigns/callsign_45_col",0
"callsign_46_col_gold","#BANNER_GOLD_CALLSIGN46",2,"rui/callsigns/callsign_46_col",0
"callsign_47_col_gold","#BANNER_GOLD_CALLSIGN47",2,"rui/callsigns/callsign_47_col",0
"callsign_48_col_gold","#BANNER_GOLD_CALLSIGN48",2,"rui/callsigns/callsign_48_col",0
"callsign_51_col_gold","#BANNER_GOLD_CALLSIGN51",2,"rui/callsigns/callsign_51_col",0
"callsign_53_col_gold","#BANNER_GOLD_CALLSIGN53",2,"rui/callsigns/callsign_53_col",0
"callsign_55_col_gold","#BANNER_GOLD_CALLSIGN55",2,"rui/callsigns/callsign_55_col",0
"callsign_57_col_gold","#BANNER_GOLD_CALLSIGN57",2,"rui/callsigns/callsign_57_col",0
"callsign_59_col_gold","#BANNER_GOLD_CALLSIGN59",2,"rui/callsigns/callsign_59_col",0
"callsign_65_col_gold","#BANNER_GOLD_CALLSIGN65",2,"rui/callsigns/callsign_65_col",0
"callsign_66_col_gold","#BANNER_GOLD_CALLSIGN66",2,"rui/callsigns/callsign_66_col",0
"callsign_67_col_gold","#BANNER_GOLD_CALLSIGN67",2,"rui/callsigns/callsign_67_col",0
"callsign_68_col_gold","#BANNER_GOLD_CALLSIGN68",2,"rui/callsigns/callsign_68_col",0
"callsign_69_col_gold","#BANNER_GOLD_CALLSIGN69",2,"rui/callsigns/callsign_69_col",0
"callsign_70_col_gold","#BANNER_GOLD_CALLSIGN70",2,"rui/callsigns/callsign_70_col",0
"callsign_71_col_gold","#BANNER_GOLD_CALLSIGN71",2,"rui/callsigns/callsign_71_col",0
"callsign_75_col_gold","#BANNER_GOLD_CALLSIGN75",2,"rui/callsigns/callsign_75_col",0
"callsign_76_col_gold","#BANNER_GOLD_CALLSIGN76",2,"rui/callsigns/callsign_76_col",0
"callsign_78_col_gold","#BANNER_GOLD_CALLSIGN78",2,"rui/callsigns/callsign_78_col",0
"callsign_79_col_gold","#BANNER_GOLD_CALLSIGN79",2,"rui/callsigns/callsign_79_col",0
"callsign_92_col_gold","#BANNER_GOLD_CALLSIGN92",2,"rui/callsigns/callsign_92_col",0
"callsign_94_col_gold","#BANNER_GOLD_CALLSIGN94",2,"rui/callsigns/callsign_94_col",0
"callsign_96_col_gold","#BANNER_GOLD_CALLSIGN96",2,"rui/callsigns/callsign_96_col",0
"callsign_97_col_gold","#BANNER_GOLD_CALLSIGN97",2,"rui/callsigns/callsign_97_col",0
"callsign_99_col_gold","#BANNER_GOLD_CALLSIGN99",2,"rui/callsigns/callsign_99_col",0
"callsign_100_col_gold","#BANNER_GOLD_CALLSIGN100",2,"rui/callsigns/callsign_100_col",0
"callsign_103_col_gold","#BANNER_GOLD_CALLSIGN103",2,"rui/callsigns/callsign_103_col",0
"callsign_104_col_gold","#BANNER_GOLD_CALLSIGN104",2,"rui/callsigns/callsign_104_col",0
"callsign_105_col_gold","#BANNER_GOLD_CALLSIGN105",2,"rui/callsigns/callsign_105_col",0
"callsign_16_col_fire","#BANNER_FIRE_CALLSIGN16",3,"rui/callsigns/callsign_16_col",0
"callsign_01_col_fire","#BANNER_FIRE_CALLSIGN1",3,"rui/callsigns/callsign_01_col",0
"callsign_03_col_fire","#BANNER_FIRE_CALLSIGN3",3,"rui/callsigns/callsign_03_col",0
"callsign_04_col_fire","#BANNER_FIRE_CALLSIGN4",3,"rui/callsigns/callsign_04_col",0
"callsign_05_col_fire","#BANNER_FIRE_CALLSIGN5",3,"rui/callsigns/callsign_05_col",0
"callsign_06_col_fire","#BANNER_FIRE_CALLSIGN6",3,"rui/callsigns/callsign_06_col",0
"callsign_07_col_fire","#BANNER_FIRE_CALLSIGN7",3,"rui/callsigns/callsign_07_col",0
"callsign_09_col_fire","#BANNER_FIRE_CALLSIGN9",3,"rui/callsigns/callsign_09_col",0
"callsign_11_col_fire","#BANNER_FIRE_CALLSIGN11",3,"rui/callsigns/callsign_11_col",0
"callsign_13_col_fire","#BANNER_FIRE_CALLSIGN13",3,"rui/callsigns/callsign_13_col",0
"callsign_14_col_fire","#BANNER_FIRE_CALLSIGN14",3,"rui/callsigns/callsign_14_col",0
"callsign_15_col_fire","#BANNER_FIRE_CALLSIGN15",3,"rui/callsigns/callsign_15_col",0
"callsign_18_col_fire","#BANNER_FIRE_CALLSIGN18",3,"rui/callsigns/callsign_18_col",0
"callsign_19_col_fire","#BANNER_FIRE_CALLSIGN19",3,"rui/callsigns/callsign_19_col",0
"callsign_21_col_fire","#BANNER_FIRE_CALLSIGN21",3,"rui/callsigns/callsign_21_col",0
"callsign_22_col_fire","#BANNER_FIRE_CALLSIGN22",3,"rui/callsigns/callsign_22_col",0
"callsign_23_col_fire","#BANNER_FIRE_CALLSIGN23",3,"rui/callsigns/callsign_23_col",0
"callsign_24_col_fire","#BANNER_FIRE_CALLSIGN24",3,"rui/callsigns/callsign_24_col",0
"callsign_26_col_fire","#BANNER_FIRE_CALLSIGN26",3,"rui/callsigns/callsign_26_col",0
"callsign_27_col_fire","#BANNER_FIRE_CALLSIGN27",3,"rui/callsigns/callsign_27_col",0
"callsign_29_col_fire","#BANNER_FIRE_CALLSIGN29",3,"rui/callsigns/callsign_29_col",0
"callsign_30_col_fire","#BANNER_FIRE_CALLSIGN30",3,"rui/callsigns/callsign_30_col",0
"callsign_31_col_fire","#BANNER_FIRE_CALLSIGN31",3,"rui/callsigns/callsign_31_col",0
"callsign_34_col_fire","#BANNER_FIRE_CALLSIGN34",3,"rui/callsigns/callsign_34_col",0
"callsign_35_col_fire","#BANNER_FIRE_CALLSIGN35",3,"rui/callsigns/callsign_35_col",0
"callsign_36_col_fire","#BANNER_FIRE_CALLSIGN36",3,"rui/callsigns/callsign_36_col",0
"callsign_37_col_fire","#BANNER_FIRE_CALLSIGN37",3,"rui/callsigns/callsign_37_col",0
"callsign_39_col_fire","#BANNER_FIRE_CALLSIGN39",3,"rui/callsigns/callsign_39_col",0
"callsign_40_col_fire","#BANNER_FIRE_CALLSIGN40",3,"rui/callsigns/callsign_40_col",0
"callsign_41_col_fire","#BANNER_FIRE_CALLSIGN41",3,"rui/callsigns/callsign_41_col",0
"callsign_42_col_fire","#BANNER_FIRE_CALLSIGN42",3,"rui/callsigns/callsign_42_col",0
"callsign_45_col_fire","#BANNER_FIRE_CALLSIGN45",3,"rui/callsigns/callsign_45_col",0
"callsign_46_col_fire","#BANNER_FIRE_CALLSIGN46",3,"rui/callsigns/callsign_46_col",0
"callsign_47_col_fire","#BANNER_FIRE_CALLSIGN47",3,"rui/callsigns/callsign_47_col",0
"callsign_48_col_fire","#BANNER_FIRE_CALLSIGN48",3,"rui/callsigns/callsign_48_col",0
"callsign_51_col_fire","#BANNER_FIRE_CALLSIGN51",3,"rui/callsigns/callsign_51_col",0
"callsign_53_col_fire","#BANNER_FIRE_CALLSIGN53",3,"rui/callsigns/callsign_53_col",0
"callsign_55_col_fire","#BANNER_FIRE_CALLSIGN55",3,"rui/callsigns/callsign_55_col",0
"callsign_57_col_fire","#BANNER_FIRE_CALLSIGN57",3,"rui/callsigns/callsign_57_col",0
"callsign_59_col_fire","#BANNER_FIRE_CALLSIGN59",3,"rui/callsigns/callsign_59_col",0
"callsign_66_col_fire","#BANNER_FIRE_CALLSIGN66",3,"rui/callsigns/callsign_66_col",0
"callsign_67_col_fire","#BANNER_FIRE_CALLSIGN67",3,"rui/callsigns/callsign_67_col",0
"callsign_68_col_fire","#BANNER_FIRE_CALLSIGN68",3,"rui/callsigns/callsign_68_col",0
"callsign_69_col_fire","#BANNER_FIRE_CALLSIGN69",3,"rui/callsigns/callsign_69_col",0
"callsign_70_col_fire","#BANNER_FIRE_CALLSIGN70",3,"rui/callsigns/callsign_70_col",0
