conversationname,priority,debounce,disabledForFaction,inheritedDebounceConversations
"scoring_won",3000,10.000000,"",""
"scoring_lost",3000,10.000000,"",""
"scoring_tied",3000,10.000000,"",""
"scoring_wonClose",3000,10.000000,"",""
"scoring_lostClose",3000,10.000000,"",""
"scoring_winning",3000,10.000000,"faction_marvin",""
"scoring_losing",3000,10.000000,"faction_marvin",""
"scoring_winningClose",3000,10.000000,"faction_marvin",""
"scoring_losingClose",3000,10.000000,"faction_marvin",""
"scoring_winningLarge",3000,10.000000,"faction_marvin",""
"scoring_losingLarge",3000,10.000000,"faction_marvin",""
"scoring_lostMercy",3000,10.000000,"",""
"scoring_wonMercy",3000,10.000000,"",""
"fortwar_matchLoss",3000,10.000000,"",""
"scoring_flavor",1500,10.000000,"",""
"scoring_gotMailAlert",1500,10.000000,"",""
"amphp_modeName",1500,10.000000,"",""
"mtitan_modeName",1500,10.000000,"",""
"ffa_modeName",2500,10.000000,"",""
"freea_modeName",2500,10.000000,"",""
"at_modeName",2500,10.000000,"",""
"hp_modeName",2500,10.000000,"",""
"cp_modeName",2500,10.000000,"",""
"phunt_modeName",2500,10.000000,"",""
"fortwar_modeName",2500,10.000000,"",""
"tw_modeName",2500,10.000000,"",""
"ctf_modeName",2500,10.000000,"",""
"bh_modeName",2500,10.000000,"",""
"front_modeName",2500,10.000000,"",""
"frontdef_modeName",2500,10.000000,"",""
"frontatk_modeName",2500,10.000000,"",""
"lts_modeName",2500,10.000000,"",""
"mfd_modeName",2500,10.000000,"",""
"tmfd_modeName",2500,10.000000,"",""
"extract_modeName",2500,10.000000,"",""
"mw_modeName",2500,10.000000,"",""
"pvp_modeName",2500,10.000000,"",""
"raid_modeName",2500,10.000000,"",""
"aslt_modeName",2500,10.000000,"",""
"gnrc_modeDesc",2500,10.000000,"",""
"ffa_modeDesc",2500,10.000000,"",""
"ctf_modeDesc",2500,10.000000,"",""
"lts_modeDesc",2500,10.000000,"",""
"mfd_modeDesc",2500,10.000000,"",""
"ltsd_modeDesc",2500,10.000000,"",""
"ltsa_modeDesc",2500,10.000000,"",""
"hp_modeDesc",2500,10.000000,"",""
"mtitan_modeDesc",2500,10.000000,"",""
"pvp_modeDesc",2500,10.000000,"",""
"phunt_modeDesc",2500,10.000000,"",""
"freea_modeDesc",2500,10.000000,"",""
"grnc_modeDesc",2500,10.000000,"",""
"mp_titanReady",1200,30.000000,"",""
"mp_titanSoon",1200,45.000000,"faction_marvin",""
"mp_titanInbound",1200,10.000000,"",""
"mp_titanEmergency",1200,10.000000,"faction_marvin",""
"mp_evacGo",1500,10.000000,"faction_marvin",""
"mp_evacStop",1500,10.000000,"faction_marvin",""
"mp_evacGoNag",1500,10.000000,"faction_marvin",""
"mp_evacStopNag",1500,10.000000,"faction_marvin",""
"mp_halftime",1500,10.000000,"",""
"mp_sideSwitching",1500,10.000000,"",""
"bh_modeDesc",1500,10.000000,"",""
"bh_incoming",1500,10.000000,"",""
"bh_collect",1500,10.000000,"faction_marvin",""
"bh_decrypt",1500,10.000000,"faction_marvin",""
"bh_collectSuccess",1500,10.000000,"faction_marvin",""
"bh_collectFail",1500,10.000000,"faction_marvin",""
"bh_mvp",1500,10.000000,"faction_marvin",""
"bh_clearedA",1500,10.000000,"",""
"bh_clearedB",1500,10.000000,"",""
"bh_clearedC",1500,10.000000,"",""
"bh_newWave",1500,10.000000,"",""
"bh_bountyClaimedByEnemy",1500,10.000000,"",""
"bh_bountyClaimedByFriendly",1500,10.000000,"",""
"bh_playerKilledBounty",1500,10.000000,"faction_marvin",""
"lts_atk60",1500,10.000000,"faction_marvin",""
"lts_atk30",1500,10.000000,"faction_marvin",""
"lts_def60",1500,10.000000,"faction_marvin",""
"lts_def30",1500,10.000000,"faction_marvin",""
"lts_bombDown",1500,10.000000,"faction_marvin",""
"lts_bombDownAtk",1500,10.000000,"faction_marvin",""
"lts_bombDownDef",1500,10.000000,"faction_marvin",""
"lts_bombPickup",1500,10.000000,"faction_marvin",""
"lts_bombPlanted",1500,10.000000,"faction_marvin",""
"lts_bombDefusedAtk",1500,10.000000,"faction_marvin",""
"lts_bombDefusedDef",1500,10.000000,"faction_marvin",""
"lts_bombPlantedAtk",1500,10.000000,"faction_marvin",""
"lts_bombPlantedDef",1500,10.000000,"faction_marvin",""
"fortwar_turretDeployFriendly",1500,10.000000,"faction_marvin",""
"fortwar_turretDestroyedFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseShieldDownFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseShieldDownEnemy",1500,10.000000,"faction_marvin",""
"fortwar_baseShieldUpFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgFriendly75",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgFriendly50",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgFriendly25",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgEnemy75",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgEnemy50",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgEnemy25",1500,10.000000,"faction_marvin",""
"fortwar_baseEnemyAllyAttacking",1500,30.000000,"faction_marvin",""
"fortwar_awayTurretsUnderAttack",1450,30.000000,"faction_marvin",""
"fortwar_baseTurretsUnderAttack",1470,30.000000,"faction_marvin",""
"fortwar_turretShieldedByFriendlyPilot",1400,10.000000,"faction_marvin",""
"tw_territoryNag",1500,10.000000,"faction_marvin",""
"fortwar_terEnemyExpelled",1500,60.000000,"faction_marvin",""
"fortwar_terFriendlyExpelled",1450,60.000000,"faction_marvin",""
"fortwar_terEnteredEnemyPilot",1400,60.000000,"faction_marvin",""
"fortwar_terEnteredEnemyTitan",1450,60.000000,"faction_marvin",""
"fortwar_terPresentEnemyTitans",1470,60.000000,"faction_marvin",""
"fortwar_terEnteredEnemyForce",1500,60.000000,"faction_marvin",""
"amphp_friendlyCappingA",1500,30.000000,"",""
"amphp_friendlyCappingB",1500,30.000000,"",""
"amphp_friendlyCappingC",1500,30.000000,"",""
"amphp_friendlyCappedA",1500,10.000000,"faction_marvin",""
"amphp_friendlyCappedB",1500,10.000000,"faction_marvin",""
"amphp_friendlyCappedC",1500,10.000000,"faction_marvin",""
"amphp_friendlyAmpedA",1500,10.000000,"faction_marvin",""
"amphp_friendlyAmpedB",1500,10.000000,"faction_marvin",""
"amphp_friendlyAmpedC",1500,10.000000,"faction_marvin",""
"amphp_enemyCappedA",1500,10.000000,"",""
"amphp_enemyCappedB",1500,10.000000,"",""
"amphp_enemyCappedC",1500,10.000000,"",""
"amphp_enemyAmpedA",1500,10.000000,"",""
"amphp_enemyAmpedB",1500,10.000000,"",""
"amphp_enemyAmpedC",1500,10.000000,"",""
"amphp_friendlyCapAll",2000,10.000000,"",""
"amphp_enemyCapAll",2000,10.000000,"",""
"amphp_youAmpedA",1500,10.000000,"",""
"amphp_youAmpedB",1500,10.000000,"",""
"amphp_youAmpedC",1500,10.000000,"",""
"ctf_flagPickupFriendly",1500,10.000000,"",""
"ctf_flagPickupYou",1500,10.000000,"",""
"ctf_flagReturnedFriendly",1500,10.000000,"",""
"ctf_flagReturnedEnemy",1500,10.000000,"",""
"ctf_notifyWin1more",1500,10.000000,"faction_marvin",""
"ctf_notifyLose1more",1500,10.000000,"faction_marvin",""
"kc_pilotkillLegion",1400,0.100000,"faction_marvin",""
"kc_pilotkillScorch",1400,0.100000,"faction_marvin",""
"kc_pilotkillTone",1400,0.100000,"faction_marvin",""
"kc_pilotkillIon",1400,0.100000,"faction_marvin",""
"kc_pilotkillRonin",1400,0.100000,"faction_marvin",""
"kc_pilotkillNorthstar",1400,0.100000,"faction_marvin",""
"kc_bullseye",1350,0.100000,"faction_marvin",""
"kc_rodeo",1350,10.000000,"faction_marvin",""
"kc_rakerodeoguy",1400,10.000000,"faction_marvin",""
"kc_pilotkilltitan",1400,0.100000,"faction_marvin",""
"kc_hitandrun",1350,0.100000,"faction_marvin",""
"kc_firstblood",2100,0.100000,"faction_marvin",""
"kc_megakill",2100,0.100000,"",""
"kc_triplekill",2100,0.100000,"",""
"kc_doublekill",1350,0.100000,"faction_marvin",""
"kc_iced",1350,0.100000,"faction_marvin",""
"kc_rampage",1350,0.100000,"faction_marvin",""
"kc_killingspree",1350,0.100000,"faction_marvin",""
"kc_dominating",1350,0.100000,"faction_marvin",""
"kc_retribution",1350,0.100000,"faction_marvin",""
"kc_comeback",1350,0.100000,"faction_marvin",""
"mfd_youAreMarked",1500,0.100000,"",""
"mfd_youKilledMark",1500,0.100000,"",""
"mfd_markDownEnemy",1500,0.100000,"",""
"mfd_markDownFriendly",1500,0.100000,"",""
"mfd_targetsMarkedLong",1500,0.100000,"",""
"mfd_targetsMarkedShort",1500,0.100000,"",""
"mfd_youOutlastedEnemy",1500,0.100000,"",""
"mfd_markCountdown",1500,0.100000,"",""
"lts_playerLastTitanOnTeam",1500,0.100000,"",""
"fd_modeDesc",2500,10.000000,"",""
"fd_firstWaveStartPrefix",2500,10.000000,"",""
"fd_newWaveStartPrefix",2500,10.000000,"",""
"fd_finalWaveStartPrefix",2500,10.000000,"",""
"fd_waveVictory",3000,30.000000,"",""
"fd_waveRestart",3000,30.000000,"",""
"fd_waveRedoTwo",3000,30.000000,"",""
"fd_waveRedoFinal",3000,30.000000,"",""
"fd_titanReadyNag",1500,10.000000,"",""
"fd_minimapTip",1500,10.000000,"",""
"fd_waveNoTitanDrops",3000,60.000000,"",""
"fd_waveTypeInfantry",1500,10.000000,"",""
"fd_waveTypeCloakDrone",1500,10.000000,"",""
"fd_waveTypeTitanReg",1500,10.000000,"",""
"fd_waveTypeTitanMortar",1500,10.000000,"",""
"fd_waveTypeTitanNuke",1500,10.000000,"",""
"fd_waveTypeTitanArc",1500,10.000000,"",""
"fd_waveComboNukeMortar",1500,10.000000,"",""
"fd_waveComboArcMortar",1500,10.000000,"",""
"fd_waveComboArcNuke",1500,10.000000,"",""
"fd_waveComboNukeCloak",1500,10.000000,"",""
"fd_waveComboNukeTrain",1500,10.000000,"",""
"fd_waveComboMultiMix",1500,10.000000,"",""
"fd_waveTypeReapers",1500,10.000000,"",""
"fd_waveTypeTicks",1500,10.000000,"",""
"fd_waveTypeStalkers",1500,10.000000,"",""
"fd_waveTypeMortarSpectre",1500,10.000000,"",""
"fd_waveTypeReaperTicks",1500,10.000000,"",""
"fd_waveTypeEliteTitan",1500,10.000000,"",""
"fd_waveTypeFlyers",1500,10.000000,"",""
"fd_baseDeath",3000,30.000000,"",""
"fd_waveRecapLowHealth",25000,20.000000,"",""
"fd_waveRecapNearPerfect",2500,20.000000,"",""
"fd_waveRecapPerfect",2500,20.000000,"",""
"fd_bigWaveInc",1500,10.000000,"",""
"fd_finalWaveStartGeneric",1500,10.000000,"",""
"fd_baseHealthRecharge",2500,10.000000,"",""
"fd_matchVictory",3000,30.000000,"",""
"fd_matchDefeat",3000,30.000000,"",""
"fd_waveCleanup",1600,10.000000,"",""
"fd_singlePilotDown",2000,10.000000,"","fd_waveNoTitanDrops"
"fd_multiPilotDown",2000,10.000000,"","fd_waveNoTitanDrops"
"fd_onlyPlayerIsAlive",2000,10.000000,"","fd_waveNoTitanDrops"
"fd_pilotRespawn",2000,10.000000,"","fd_waveNoTitanDrops"
"fd_nukeTitanNearBase",1750,10.000000,"","fd_baseShieldTakingDmg"
"fd_waveCleanup5",1500,20.000000,"",""
"fd_waveCleanup4",1500,20.000000,"",""
"fd_waveCleanup3",1500,20.000000,"",""
"fd_waveCleanup2",1500,20.000000,"",""
"fd_waveCleanup1",1500,20.000000,"",""
"fd_baseShieldTakingDmg",1900,30.000000,"","fd_waveNoTitanDrops"
"fd_baseShieldLow",1910,10.000000,"","fd_baseShieldTakingDmg fd_waveNoTitanDrops fd_nagTitanArcAtBase"
"fd_baseShieldDown",1930,10.000000,"","fd_waveNoTitanDrops fd_nagTitanArcAtBase"
"fd_baseShieldUp",1810,8.000000,"","fd_baseShieldTakingDmg fd_baseShieldRecharging fd_waveNoTitanDrops"
"fd_baseShieldRecharging",1800,30.000000,"","fd_baseShieldTakingDmg fd_waveNoTitanDrops"
"fd_baseShieldRechargingShort",1800,30.000000,"","fd_baseShieldTakingDmg fd_waveNoTitanDrops"
"fd_baseBatteryNagLow",1920,10.000000,"",""
"fd_baseBatteryNagDown",2000,10.000000,"",""
"fd_baseShieldLowHolding",2000,10.000000,"",""
"fd_waveNoTitans",1500,10.000000,"",""
"fd_incTitansNukeClump",1500,10.000000,"",""
"fd_incTitansMortarClump",1500,10.000000,"",""
"fd_incArcTitanClump",1500,10.000000,"",""
"fd_incCloakDroneClump",1500,10.000000,"",""
"fd_incReaperClump",1500,10.000000,"",""
"fd_nagKillTitansMortar",2020,45.000000,"","fd_baseShieldTakingDmg"
"fd_nagKillInfantry",1500,45.000000,"","fd_baseShieldTakingDmg"
"fd_nagKillStalkers",1000,45.000000,"","fd_baseShieldTakingDmg"
"fd_nagKillMortarSpectres",2020,45.000000,"","fd_baseShieldTakingDmg"
"fd_nagKillTitanEMP",1500,45.000000,"","fd_baseShieldTakingDmg"
"fd_nagTitanArcAtBase",2050,45.000000,"","fd_baseShieldTakingDmg"
"fd_baseHealth75",2000,15.000000,"",""
"fd_baseHealth50",2010,15.000000,"","fd_baseHealth75"
"fd_baseHealth25",2020,15.000000,"","fd_baseHealth75 fd_baseHealth50"
"fd_baseLowHealth",2030,15.000000,"","fd_baseHealth75 fd_baseHealth50 fd_baseHealth25"
"fd_baseHealth50nag",2010,10.000000,"",""
"fd_baseHealth25nag",2020,10.000000,"",""
"fd_playerCashNagSurplus",1500,10.000000,"",""
"fd_playerCashNagReg",1500,10.000000,"",""
"fd_wavePayoutAddtnl",1500,10.000000,"",""
"fd_wavePayoutFirst",1500,10.000000,"",""
"fd_introEasy",1500,10.000000,"",""
"fd_introMedium",1500,10.000000,"",""
"fd_introHard",1500,10.000000,"",""
"fd_turretOffline",1500,10.000000,"",""
"fd_turretOnline",1500,10.000000,"",""
"turretKillsLow",1500,10.000000,"",""
"turretKillsMedium",1500,10.000000,"",""
"turretKillsHigh",1500,10.000000,"",""
"turretKillsMega",1500,10.000000,"",""
"fd_boughtSentryTurret",1500,10.000000,"",""
"fd_boughtArcTrap",1500,10.000000,"",""
"fd_boughtCoreOverload",1500,10.000000,"",""
"fd_playerNeedsToReadyUp",1500,10.000000,"",""
"fd_boughtAmpedWeapons",1500,10.000000,"",""
"fd_boughtHarvesterShield",1500,10.000000,"",""
"fd_boughtBattery",1500,10.000000,"",""
"matchRecapNoDeaths",1500,10.000000,"",""
"matchRecapNoPlayerDeath",1500,10.000000,"",""
"matchRecapPlayerMVP",1500,10.000000,"",""
"fd_soonNukeTitans",1500,10.000000,"",""
"fd_soonArcTitans",1500,10.000000,"",""
"fd_soonMortarTitans",1500,10.000000,"",""
"fd_stalkerExploNag",1000,10.000000,"",""