conversationname,alias,priority,debounce
"bc_allygruntdown","bc_allygruntdown",250,20.000000
"bc_enemytitandown","bc_enemytitandown",250,20.000000
"bc_enemytitanspotcall","bc_enemytitanspotcall",250,20.000000
"bc_engageenemycloakedpilot","bc_engageenemycloakedpilot",250,20.000000
"bc_engagepilotenemy","bc_engagepilotenemy",250,20.000000
"bc_grenadecall","bc_grenadecall",250,20.000000
"bc_gruntkillstitan","bc_gruntkillstitan",250,20.000000
"bc_killenemypilot","bc_killenemypilot",250,20.000000
"bc_spotenemypilot","bc_spotenemypilot",250,20.000000
"bc_squaddeplete","bc_squaddeplete",250,20.000000
"bc_reactGrenadeArc","bc_reactGrenadeArc",250,20.000000
"bc_reactGrenadeThermite","bc_reactGrenadeThermite",250,20.000000
"bc_reactGrenadeGravity","bc_reactGrenadeGravity",250,20.000000
"bc_reactGrenadeElecSmoke","bc_reactGrenadeElecSmoke",250,20.000000
"bc_grenadeOutCall","bc_grenadeOutCall",250,20.000000
"bc_fleePlayerTitanCall","bc_spotclosetitancall_01",250,20.000000
"bc_fleePlayerTitanCall","bc_fleePlayerTitanCall",250,20.000000
"bc_reactTickSpawnFriendly","bc_reactTickSpawnFriendly_01",250,20.000000
"bc_reactTickSpawnFriendly","bc_reactTickSpawnFriendly_02",250,20.000000
"bc_reactTickSpawnFriendly","bc_reactTickSpawnFriendly_03",250,20.000000
"bc_reactTitanfallFriendlyArrives","bc_reactTitanfallFriendlyArrives_01",250,40.000000
"bc_reactTitanfallFriendlyArrives","bc_titancheer_01",250,40.000000
"bc_reactEnemySpotted","bc_engagepilotenemy_01",250,20.000000
"bc_reactEnemySpotted","bc_engagepilotenemy_02",250,20.000000
"bc_reactEnemySpotted","bc_engagepilotenemy_06",250,20.000000
"bc_reactEnemyReaper","diag_sp_ReaperTown_BM102_15_01_mcor_grunt3",250,20.000000
"bc_reactEnemyReaper","diag_sp_ReaperTown_BM102_16_01_mcor_grunt2",250,20.000000
"bc_reactReaperFriendlyArrives","bc_reactReaperFriendlyArrives_01",250,40.000000
"bc_reactFriendlyPilot","diag_sp_ReaperTown_BM103_01a_01_mcor_grunt2",250,180.000000
"TEMP_bc_reactFriendlyPilot","diag_sp_corkscrew_SE131_02_01_mcor_grunt1",250,180.000000
"bc_reactFriendlyPilot","diag_sp_corkscrew_SE131_19_01_mcor_grunt1",250,180.000000
"bc_generalCombat","diag_sp_corkscrew_SE131_21_01_mcor_grunt1",250,20.000000
"bc_generalCombat","diag_sp_corkscrew_SE131_12_01_mcor_grunt1",250,20.000000
"bc_generalCombat","diag_sp_intro_WD104_29_01_mcor_grunt6",250,20.000000
"bc_generalCombat","diag_sp_intro_WD104_24_01_mcor_grunt1",250,20.000000
"bc_generalCombat","diag_sp_intro_WD103_02_01_mcor_grunt2",250,20.000000
"bc_generalCombat","diag_sp_intro_WD104_25_01_mcor_grunt2",250,20.000000
"bc_generalCombat","diag_sp_intro_WD104_26_01_mcor_grunt3",250,20.000000
"bc_generalCombat","diag_sp_intro_WD104_27_01_mcor_grunt4",250,20.000000
"bc_generalCombat","diag_sp_intro_WD104_28_01_mcor_grunt5",250,20.000000
"TEMP_bc_generalNonCombat","diag_sp_ReaperTown_BM102_29a_01_imc_gcaptain",250,100.000000
"bc_generalNonCombat","diag_sp_ReaperTown_BM103_02a_01_mcor_grunt1",250,100.000000
"bc_generalCombatTitan","diag_sp_sewerArena_SE151_09_01_imc_grunt1",250,20.000000
"bc_generalCombatTitan","diag_sp_sewerArena_SE152_01_01_imc_grunt1",250,20.000000
"bc_generalCombatTitan","diag_sp_intro_WD103_07_01_mcor_grunt1",250,20.000000
"bc_generalCombatTitan","diag_sp_bigCharge_TD111_06_01_mcor_pilot3",250,20.000000