mod,weapon,statDamage,statAccuracy,statRange,statFireRate,statClipSize,hidden
"extended_ammo","mp_weapon_r97",0,0,0,0,10,0
"extended_ammo","mp_weapon_shotgun",0,0,0,0,3,0
"extended_ammo","mp_weapon_mastiff",0,0,0,0,3,0
"extended_ammo","mp_weapon_car",0,0,0,0,10,0
"extended_ammo","mp_weapon_rspn101",0,0,0,0,6,0
"extended_ammo","mp_weapon_rspn101_og",0,0,0,0,6,0
"extended_ammo","mp_weapon_hemlok",0,0,0,0,6,0
"extended_ammo","mp_weapon_g2",0,0,0,0,4,0
"extended_ammo","mp_weapon_vinson",0,0,0,0,6,0
"extended_ammo","mp_weapon_hemlok_smg",0,0,0,0,0,0
"extended_ammo","mp_weapon_alternator_smg",0,0,0,0,0,0
"extended_ammo","mp_weapon_wingman",0,0,0,0,0,0
"extended_ammo","mp_weapon_wingman_n",0,0,0,0,0,0
"extended_ammo","mp_weapon_shotgun_pistol",0,0,0,0,0,0
"extended_ammo","mp_weapon_sniper",0,0,0,0,0,0
"extended_ammo","mp_weapon_defender",0,0,0,0,0,0
"extended_ammo","mp_weapon_dmr",0,0,0,0,0,0
"extended_ammo","mp_weapon_doubletake",0,0,0,0,0,0
"extended_ammo","mp_weapon_softball",0,0,0,0,0,0
"extended_ammo","mp_weapon_epg",0,0,0,0,0,0
"extended_ammo","mp_weapon_pulse_lmg",0,0,0,0,0,0
"extended_ammo","mp_weapon_smr",0,0,0,0,0,0
"extended_ammo","mp_weapon_rocket_launcher",0,0,0,0,0,0
"extended_ammo","mp_weapon_mgl",0,0,0,0,0,0
"extended_ammo","mp_weapon_arc_launcher",0,0,0,0,0,0
"extended_ammo","mp_weapon_semipistol",0,0,0,0,0,0
"extended_ammo","mp_weapon_autopistol",0,0,0,0,0,0
"extended_ammo","mp_weapon_lmg",0,0,0,0,0,0
"extended_ammo","mp_weapon_lstar",0,0,0,0,0,0
"extended_ammo","mp_weapon_esaw",0,0,0,0,0,0
"silencer","mp_weapon_wingman",0,0,0,0,0,0
"silencer","mp_weapon_shotgun_pistol",0,0,0,0,0,0
"silencer","mp_weapon_autopistol",0,0,0,0,0,0
"silencer","mp_weapon_semipistol",0,0,0,0,0,0
"hcog","mp_weapon_rspn101",0,0,0,0,0,0
"hcog","mp_weapon_rspn101_og",0,0,0,0,0,0
"hcog","mp_weapon_hemlok",0,0,0,0,0,0
"hcog","mp_weapon_g2",0,0,0,0,0,0
"hcog","mp_weapon_vinson",0,0,0,0,0,0
"hcog","mp_weapon_alternator_smg",0,0,0,0,0,0
"redline_sight","mp_weapon_r97",0,0,0,0,0,0
"redline_sight","mp_weapon_car",0,0,0,0,0,0
"redline_sight","mp_weapon_rspn101",0,0,0,0,0,0
"redline_sight","mp_weapon_rspn101_og",0,0,0,0,0,0
"redline_sight","mp_weapon_hemlok",0,0,0,0,0,0
"redline_sight","mp_weapon_g2",0,0,0,0,0,0
"redline_sight","mp_weapon_lmg",0,0,0,0,0,0
"redline_sight","mp_weapon_vinson",0,0,0,0,0,0
"redline_sight","mp_weapon_hemlok_smg",0,0,0,0,0,0
"redline_sight","mp_weapon_alternator_smg",0,0,0,0,0,0
"redline_sight","mp_weapon_lstar",0,0,0,0,0,0
"redline_sight","mp_weapon_esaw",0,0,0,0,0,0
"redline_sight","mp_weapon_shotgun",0,0,0,0,0,0
"redline_sight","mp_weapon_mastiff",0,0,0,0,0,0
"aog","mp_weapon_lstar",0,0,0,0,0,0
"aog","mp_weapon_lmg",0,0,0,0,0,0
"aog","mp_weapon_esaw",0,0,0,0,0,0
"holosight","mp_weapon_hemlok_smg",0,0,0,0,0,0
"holosight","mp_weapon_car",0,0,0,0,0,0
"holosight","mp_weapon_r97",0,0,0,0,0,0
"holosight","mp_weapon_shotgun",0,0,0,0,0,0
"holosight","mp_weapon_mastiff",0,0,0,0,0,0
"scope_4x","mp_weapon_dmr",0,0,0,0,0,0
"scope_4x","mp_weapon_sniper",0,0,0,0,0,0
"scope_4x","mp_weapon_doubletake",0,0,0,0,0,0
"ricochet","mp_weapon_sniper",0,0,0,0,0,0
"ricochet","mp_weapon_doubletake",0,0,0,0,0,0
"ricochet","mp_weapon_wingman_n",0,0,0,0,0,0
"threat_scope","mp_weapon_rspn101",0,0,0,0,0,0
"threat_scope","mp_weapon_rspn101_og",0,0,0,0,0,0
"threat_scope","mp_weapon_vinson",0,0,0,0,0,0
"threat_scope","mp_weapon_hemlok",0,0,0,0,0,0
"threat_scope","mp_weapon_g2",0,0,0,0,0,0
"threat_scope","mp_weapon_car",0,0,0,0,0,0
"threat_scope","mp_weapon_r97",0,0,0,0,0,0
"threat_scope","mp_weapon_alternator_smg",0,0,0,0,0,0
"threat_scope","mp_weapon_hemlok_smg",0,0,0,0,0,0
"threat_scope","mp_weapon_sniper",0,0,0,0,0,0
"threat_scope","mp_weapon_dmr",0,0,0,0,0,0
"threat_scope","mp_weapon_doubletake",0,0,0,0,0,0
"threat_scope","mp_weapon_lmg",0,0,0,0,0,0
"threat_scope","mp_weapon_lstar",0,0,0,0,0,0
"threat_scope","mp_weapon_esaw",0,0,0,0,0,0
"threat_scope","mp_weapon_shotgun",0,0,0,0,0,0
"threat_scope","mp_weapon_mastiff",0,0,0,0,0,0
"quick_charge","mp_weapon_defender",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_rspn101",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_rspn101_og",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_vinson",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_hemlok",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_g2",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_car",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_r97",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_alternator_smg",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_hemlok_smg",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_lmg",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_lstar",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_esaw",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_sniper",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_dmr",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_doubletake",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_wingman",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_wingman_n",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_shotgun_pistol",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_autopistol",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_semipistol",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_shotgun",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_mastiff",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_softball",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_epg",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_pulse_lmg",0,0,0,0,0,0
"tactical_cdr_on_kill","mp_weapon_smr",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_rspn101",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_rspn101_og",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_vinson",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_hemlok",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_g2",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_car",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_r97",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_alternator_smg",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_hemlok_smg",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_lmg",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_lstar",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_esaw",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_sniper",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_dmr",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_doubletake",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_wingman",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_wingman_n",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_shotgun_pistol",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_autopistol",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_semipistol",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_shotgun",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_mastiff",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_softball",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_epg",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_pulse_lmg",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_smr",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_defender",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_rocket_launcher",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_mgl",0,0,0,0,0,0
"pas_fast_ads","mp_weapon_arc_launcher",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_rspn101",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_rspn101_og",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_vinson",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_hemlok",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_g2",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_car",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_r97",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_alternator_smg",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_hemlok_smg",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_lmg",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_lstar",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_esaw",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_sniper",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_dmr",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_doubletake",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_shotgun",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_mastiff",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_softball",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_epg",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_pulse_lmg",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_smr",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_defender",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_rocket_launcher",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_mgl",0,0,0,0,0,0
"pas_fast_swap","mp_weapon_arc_launcher",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_rspn101",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_rspn101_og",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_vinson",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_hemlok",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_g2",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_car",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_r97",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_alternator_smg",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_hemlok_smg",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_lmg",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_lstar",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_esaw",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_sniper",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_dmr",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_doubletake",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_wingman",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_wingman_n",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_shotgun_pistol",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_autopistol",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_semipistol",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_shotgun",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_mastiff",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_softball",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_epg",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_pulse_lmg",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_smr",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_rocket_launcher",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_mgl",0,0,0,0,0,0
"pas_fast_reload","mp_weapon_arc_launcher",0,0,0,0,0,0
"pro_screen","mp_weapon_r97",0,0,0,0,0,0
"pro_screen","mp_weapon_shotgun",0,0,0,0,0,0
"pro_screen","mp_weapon_mastiff",0,0,0,0,0,0
"pro_screen","mp_weapon_car",0,0,0,0,0,0
"pro_screen","mp_weapon_rspn101",0,0,0,0,0,0
"pro_screen","mp_weapon_rspn101_og",0,0,0,0,0,0
"pro_screen","mp_weapon_hemlok",0,0,0,0,0,0
"pro_screen","mp_weapon_g2",0,0,0,0,0,0
"pro_screen","mp_weapon_vinson",0,0,0,0,0,0
"pro_screen","mp_weapon_hemlok_smg",0,0,0,0,0,0
"pro_screen","mp_weapon_alternator_smg",0,0,0,0,0,0
"pro_screen","mp_weapon_wingman",0,0,0,0,0,0
"pro_screen","mp_weapon_wingman_n",0,0,0,0,0,0
"pro_screen","mp_weapon_shotgun_pistol",0,0,0,0,0,0
"pro_screen","mp_weapon_sniper",0,0,0,0,0,0
"pro_screen","mp_weapon_defender",0,0,0,0,0,0
"pro_screen","mp_weapon_dmr",0,0,0,0,0,0
"pro_screen","mp_weapon_doubletake",0,0,0,0,0,0
"pro_screen","mp_weapon_softball",0,0,0,0,0,0
"pro_screen","mp_weapon_epg",0,0,0,0,0,0
"pro_screen","mp_weapon_pulse_lmg",0,0,0,0,0,0
"pro_screen","mp_weapon_smr",0,0,0,0,0,0
"pro_screen","mp_weapon_rocket_launcher",0,0,0,0,0,0
"pro_screen","mp_weapon_mgl",0,0,0,0,0,0
"pro_screen","mp_weapon_arc_launcher",0,0,0,0,0,0
"pro_screen","mp_weapon_semipistol",0,0,0,0,0,0
"pro_screen","mp_weapon_autopistol",0,0,0,0,0,0
"pro_screen","mp_weapon_lmg",0,0,0,0,0,0
"pro_screen","mp_weapon_lstar",0,0,0,0,0,0
"pro_screen","mp_weapon_esaw",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_r97",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_shotgun",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_mastiff",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_car",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_rspn101",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_rspn101_og",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_hemlok",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_g2",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_vinson",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_hemlok_smg",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_alternator_smg",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_wingman",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_wingman_n",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_shotgun_pistol",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_softball",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_epg",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_pulse_lmg",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_smr",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_semipistol",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_autopistol",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_lmg",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_lstar",0,0,0,0,0,0
"pas_run_and_gun","mp_weapon_esaw",0,0,0,0,0,0