itemRef,type,defaultAttachment,defaultMod1,defaultMod2,defaultMod3,hidden,xpPerLevelType,cost
"mp_weapon_r97","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_alternator_smg","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_car","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_hemlok_smg","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_lmg","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_lstar","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_esaw","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_rspn101","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_vinson","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_hemlok","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_g2","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_shotgun","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_mastiff","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_dmr","PILOT_PRIMARY","","","","",0,"sniper",100
"mp_weapon_doubletake","PILOT_PRIMARY","","","","",0,"sniper",100
"mp_weapon_sniper","PILOT_PRIMARY","","","","",0,"sniper",100
"mp_weapon_epg","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_smr","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_pulse_lmg","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_softball","PILOT_PRIMARY","","","","",0,"default",100
"mp_weapon_autopistol","PILOT_SECONDARY","","","","",0,"pistol",50
"mp_weapon_semipistol","PILOT_SECONDARY","","","","",0,"pistol",50
"mp_weapon_wingman","PILOT_SECONDARY","","","","",0,"pistol",50
"mp_weapon_shotgun_pistol","PILOT_PRIMARY","","","","",0,"default",50
"mp_weapon_rocket_launcher","PILOT_SECONDARY","","","","",0,"antititan",50
"mp_weapon_arc_launcher","PILOT_SECONDARY","","","","",0,"antititan",50
"mp_weapon_defender","PILOT_SECONDARY","","","","",0,"antititan",50
"mp_weapon_mgl","PILOT_SECONDARY","","","","",0,"antititan",50
"melee_pilot_emptyhanded","PILOT_MELEE","","","","",0,"default",100
"melee_pilot_arena","PILOT_MELEE","","","","",0,"default",100
"mp_weapon_wingman_n","PILOT_PRIMARY","","","","",0,"default",50
"mp_weapon_rspn101_og","PILOT_PRIMARY","","","","",0,"default",100