weaponLevel,weap1,weap2,weap3,weap4,weap5,weap6,weap7,weap8,weap9,weap10,weap11,weap12,weap13,weap14,weap15,weap16,weap17,weap18,weap19,weap20,weap21,weap22,weap23,weap24,weap25,weap26,weap27,weap28,weap29,weap30,end
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81","camo_skin81",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18","camo_skin18",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30","camo_skin30",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random",""